Book-Title,Book-Author
Stone Butch Blues : A Novel,Leslie Feinberg
Life Beyond Earth,Gerald Feinberg
Cass and the Stone Butch,Antionette Azolakov
Alias Butch Cassidy,Will Henry
Transgender Warriors: Making History from Joan of Arc to Rupaul,Leslie Feinberg
"Valentine Murder: A Lucy Stone Mystery (Meier, Leslie, Lucy Stone Mystery.)",Leslie Meier
"Sundance,  Butch  and Me",Judy Alter
Spontaneous Combustion,David B. Feinberg
"Wedding Day Murder: A Lucy Stone Mystery (Meier, Leslie. Lucy Stone Mystery.)",Leslie Meier
Cheap Ways To...,Margaret Feinberg
